Entity,Code,Year,Global sea level (Church and White 2011),Global sea level (UHSLC),Global sea level (Average)
World,OWID_WRL,1880,-180.236,nan,-180.236
World,OWID_WRL,1881,-173.039,nan,-173.039
World,OWID_WRL,1882,-191.581,nan,-191.581
World,OWID_WRL,1883,-190.456,nan,-190.456
World,OWID_WRL,1884,-166.597,nan,-166.597
World,OWID_WRL,1885,-168.556,nan,-168.556
World,OWID_WRL,1886,-169.597,nan,-169.597
World,OWID_WRL,1887,-176.764,nan,-176.764
World,OWID_WRL,1888,-174.156,nan,-174.156
World,OWID_WRL,1889,-171.481,nan,-171.481
World,OWID_WRL,1890,-169.881,nan,-169.881
World,OWID_WRL,1891,-173.356,nan,-173.356
World,OWID_WRL,1892,-168.656,nan,-168.656
World,OWID_WRL,1893,-164.781,nan,-164.781
World,OWID_WRL,1894,-174.297,nan,-174.297
World,OWID_WRL,1895,-162.264,nan,-162.264
World,OWID_WRL,1896,-168.622,nan,-168.622
World,OWID_WRL,1897,-164.239,nan,-164.239
World,OWID_WRL,1898,-157.481,nan,-157.481
World,OWID_WRL,1899,-148.056,nan,-148.056
World,OWID_WRL,1900,-152.381,nan,-152.381
World,OWID_WRL,1901,-154.014,nan,-154.014
World,OWID_WRL,1902,-148.872,nan,-148.872
World,OWID_WRL,1903,-140.872,nan,-140.872
World,OWID_WRL,1904,-149.964,nan,-149.964
World,OWID_WRL,1905,-156.647,nan,-156.647
World,OWID_WRL,1906,-150.297,nan,-150.297
World,OWID_WRL,1907,-150.714,nan,-150.714
World,OWID_WRL,1908,-153.631,nan,-153.631
World,OWID_WRL,1909,-150.014,nan,-150.014
World,OWID_WRL,1910,-149.206,nan,-149.206
World,OWID_WRL,1911,-142.047,nan,-142.047
World,OWID_WRL,1912,-144.089,nan,-144.089
World,OWID_WRL,1913,-142.172,nan,-142.172
World,OWID_WRL,1914,-138.247,nan,-138.247
World,OWID_WRL,1915,-126.314,nan,-126.314
World,OWID_WRL,1916,-130.639,nan,-130.639
World,OWID_WRL,1917,-133.831,nan,-133.831
World,OWID_WRL,1918,-135.706,nan,-135.706
World,OWID_WRL,1919,-134.672,nan,-134.672
World,OWID_WRL,1920,-133.522,nan,-133.522
World,OWID_WRL,1921,-131.206,nan,-131.206
World,OWID_WRL,1922,-132.556,nan,-132.556
World,OWID_WRL,1923,-129.731,nan,-129.731
World,OWID_WRL,1924,-138.272,nan,-138.272
World,OWID_WRL,1925,-136.756,nan,-136.756
World,OWID_WRL,1926,-129.439,nan,-129.439
World,OWID_WRL,1927,-130.497,nan,-130.497
World,OWID_WRL,1928,-133.964,nan,-133.964
World,OWID_WRL,1929,-133.747,nan,-133.747
World,OWID_WRL,1930,-129.589,nan,-129.589
World,OWID_WRL,1931,-129.722,nan,-129.722
World,OWID_WRL,1932,-124.731,nan,-124.731
World,OWID_WRL,1933,-119.181,nan,-119.181
World,OWID_WRL,1934,-125.097,nan,-125.097
World,OWID_WRL,1935,-119.339,nan,-119.339
World,OWID_WRL,1936,-123.589,nan,-123.589
World,OWID_WRL,1937,-118.247,nan,-118.247
World,OWID_WRL,1938,-114.931,nan,-114.931
World,OWID_WRL,1939,-109.906,nan,-109.906
World,OWID_WRL,1940,-115.564,nan,-115.564
World,OWID_WRL,1941,-102.914,nan,-102.914
World,OWID_WRL,1942,-103.522,nan,-103.522
World,OWID_WRL,1943,-102.097,nan,-102.097
World,OWID_WRL,1944,-109.472,nan,-109.472
World,OWID_WRL,1945,-106.889,nan,-106.889
World,OWID_WRL,1946,-98.9807,nan,-98.9807
World,OWID_WRL,1947,-97.5807,nan,-97.5807
World,OWID_WRL,1948,-90.7474,nan,-90.7474
World,OWID_WRL,1949,-92.2391,nan,-92.2391
World,OWID_WRL,1950,-90.8974,nan,-90.8974
World,OWID_WRL,1951,-80.5724,nan,-80.5724
World,OWID_WRL,1952,-84.0391,nan,-84.0391
World,OWID_WRL,1953,-78.1724,nan,-78.1724
World,OWID_WRL,1954,-82.7391,nan,-82.7391
World,OWID_WRL,1955,-80.2974,nan,-80.2974
World,OWID_WRL,1956,-85.3391,nan,-85.3391
World,OWID_WRL,1957,-73.8807,nan,-73.8807
World,OWID_WRL,1958,-71.8224,nan,-71.8224
World,OWID_WRL,1959,-70.4891,nan,-70.4891
World,OWID_WRL,1960,-67.8307,nan,-67.8307
World,OWID_WRL,1961,-60.7224,nan,-60.7224
World,OWID_WRL,1962,-66.4391,nan,-66.4391
World,OWID_WRL,1963,-67.0807,nan,-67.0807
World,OWID_WRL,1964,-75.9974,nan,-75.9974
World,OWID_WRL,1965,-65.0724,nan,-65.0724
World,OWID_WRL,1966,-69.1307,nan,-69.1307
World,OWID_WRL,1967,-69.2891,nan,-69.2891
World,OWID_WRL,1968,-67.9474,nan,-67.9474
World,OWID_WRL,1969,-60.7474,nan,-60.7474
World,OWID_WRL,1970,-63.0474,-67.2513,-65.1493
World,OWID_WRL,1971,-57.5974,-61.5447,-59.571
World,OWID_WRL,1972,-49.2641,-49.3813,-49.3227
World,OWID_WRL,1973,-55.2224,-57.7391,-56.4807
World,OWID_WRL,1974,-42.4724,-43.6662,-43.0693
World,OWID_WRL,1975,-44.1141,-42.0906,-43.1023
World,OWID_WRL,1976,-45.5307,-40.6554,-43.0931
World,OWID_WRL,1977,-46.9807,-47.3245,-47.1526
World,OWID_WRL,1978,-39.9057,-48.0778,-43.9918
World,OWID_WRL,1979,-46.2974,-51.6598,-48.9786
World,OWID_WRL,1980,-39.8641,-39.8672,-39.8656
World,OWID_WRL,1981,-27.4474,-30.4,-28.9237
World,OWID_WRL,1982,-33.0057,-29.8035,-31.4046
World,OWID_WRL,1983,-23.7724,-29.444,-26.6082
World,OWID_WRL,1984,-25.5141,-30.479,-27.9966
World,OWID_WRL,1985,-35.1141,-34.5516,-34.8328
World,OWID_WRL,1986,-34.8974,-31.8383,-33.3678
World,OWID_WRL,1987,-34.7474,-27.315,-31.0312
World,OWID_WRL,1988,-29.6057,-24.8998,-27.2528
World,OWID_WRL,1989,-25.9641,-23.7205,-24.8423
World,OWID_WRL,1990,-23.9724,-17.1355,-20.5539
World,OWID_WRL,1991,-20.9807,-11.182,-16.0814
World,OWID_WRL,1992,-17.9641,-10.7997,-14.3819
World,OWID_WRL,1993,-21.8474,-20.5072,-21.1773
World,OWID_WRL,1994,-19.6641,-16.7232,-18.1937
World,OWID_WRL,1995,-14.6891,-10.0416,-12.3653
World,OWID_WRL,1996,-9.88073,-9.15014,-9.51544
World,OWID_WRL,1997,-2.78073,-3.32785,-3.05429
World,OWID_WRL,1998,-8.35573,-7.10654,-7.73114
World,OWID_WRL,1999,-3.11406,-1.86897,-2.49152
World,OWID_WRL,2000,-2.30573,-1.70617,-2.00599
World,OWID_WRL,2001,2.49427,3.30133,2.8978
World,OWID_WRL,2002,0.885937,0.0291059,0.457522
World,OWID_WRL,2003,10.1609,5.4257,7.79332
World,OWID_WRL,2004,10.2609,7.02255,8.64174
World,OWID_WRL,2005,9.78594,8.41957,9.10275
World,OWID_WRL,2006,10.9859,13.9026,12.4443
World,OWID_WRL,2007,13.7693,11.7895,12.7794
World,OWID_WRL,2008,24.2943,20.6544,22.4744
World,OWID_WRL,2009,28.9276,26.2439,27.5858
World,OWID_WRL,2010,nan,36.1979,36.1979
World,OWID_WRL,2011,nan,36.1817,36.1817
World,OWID_WRL,2012,nan,42.3416,42.3416
World,OWID_WRL,2013,nan,42.0269,42.0269
World,OWID_WRL,2014,nan,49.9047,49.9047
World,OWID_WRL,2015,nan,52.1794,52.1794
World,OWID_WRL,2016,nan,56.3307,56.3307
World,OWID_WRL,2017,nan,55.1124,55.1124
World,OWID_WRL,2018,nan,52.0833,52.0833
World,OWID_WRL,2019,nan,60.9807,60.9807
World,OWID_WRL,2020,nan,65.9997,65.9997
World,OWID_WRL,2021,nan,nan,56.4
World,OWID_WRL,2022,nan,nan,60.0
World,OWID_WRL,2023,nan,nan,67.6
World,OWID_WRL,2024,nan,nan,71.0
